hour, transport_mode, mean delay, variance delay, min delay, max delay, nb delay, 1st quartile delay, median delay, third quartile delay
00h00,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h00,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h00,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h00,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h10,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h10,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h10,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h10,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h20,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h20,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h20,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h20,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h30,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h30,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h30,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h30,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h40,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h40,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h40,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h40,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h50,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h50,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h50,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00h50,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h00,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h00,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h00,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h00,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h10,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h10,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h10,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h10,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h20,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h20,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h20,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h20,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h30,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h30,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h30,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h30,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h40,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h40,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h40,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h40,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h50,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h50,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h50,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01h50,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h00,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h00,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h00,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h00,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h10,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h10,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h10,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h10,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h20,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h20,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h20,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h20,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h30,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h30,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h30,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h30,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h40,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h40,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h40,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h40,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h50,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h50,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h50,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02h50,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h00,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h00,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h00,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h00,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h10,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h10,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h10,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h10,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h20,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h20,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h20,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h20,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h30,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h30,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h30,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h30,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h40,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h40,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h40,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h40,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h50,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h50,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h50,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03h50,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04h00,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04h00,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04h00,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04h00,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04h10,walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04h10,bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04h10,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04h10,bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
