stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
3377699720880984,525,Basso Cambo,43.569326,1.392183,0,1970324837184808,1
3377699720880985,40041,Bagatelle,43.579944,1.412341,0,1970324837184809,1
3377699720880986,40040,Bagatelle,43.579886,1.412436,0,1970324837184809,1
3377699720880988,423,Bagatelle,43.580212,1.411682,0,1970324837184809,1
3377699720880989,420,Bagatelle,43.579705,1.411838,0,1970324837184809,1
3377699720880990,40121,Jean Jaurès,43.605606,1.448519,0,1970324837184810,1
3377699720880991,40120,Jean Jaurès,43.605531,1.448587,0,1970324837184810,1
3377699720880992,3673,Jean Jaurès,43.606021,1.448740,0,1970324837184810,1
3377699720880994,3671,Jean Jaurès,43.605992,1.448494,0,1970324837184810,1
3377699720881006,40111,Capitole,43.604522,1.445511,0,1970324837184814,1
3377699720881007,40110,Capitole,43.604444,1.445573,0,1970324837184814,1
3377699720881048,5271,"Patte d'Oie",43.596521,1.423804,0,1970324837184827,1
3377699720881049,5270,"Patte d'Oie",43.596489,1.423266,0,1970324837184827,1
3377699720881051,40081,"Patte d'Oie",43.596125,1.423223,0,1970324837184827,1
3377699720881052,40080,"Patte d'Oie",43.596038,1.423254,0,1970324837184827,1
3377699720881100,3950,Auguste Gratian,43.669619,1.410883,0,1970324837184847,2
3377699720881101,3951,Auguste Gratian,43.668475,1.411104,0,1970324837184847,2
3377699720881127,491,Barrière de Lombez,43.595192,1.419307,0,1970324837184867,1
3377699720881129,6290,Roquemaurel,43.595068,1.415229,0,1970324837184868,1
3377699720881133,290,Av. de Lombez,43.594461,1.411957,0,1970324837184870,1
3377699720881134,291,Av. de Lombez,43.594545,1.413161,0,1970324837184870,2
3377699720881135,3441,Hippodrome,43.593468,1.407139,0,1970324837184871,1
3377699720881136,3440,Hippodrome,43.593784,1.408279,0,1970324837184871,1
3377699720881137,1440,Brombach,43.592969,1.403843,0,1970324837184872,1
3377699720881138,1441,Brombach,43.592913,1.404043,0,1970324837184872,1
3377699720881139,5611,Pont Rocade,43.592191,1.400145,0,1970324837184873,1
3377699720881140,5610,Pont Rocade,43.592252,1.399979,0,1970324837184873,1
3377699720881143,941,Tissié,43.593118,1.393936,0,1970324837184875,1
3377699720881144,940,Tissié,43.593487,1.392854,0,1970324837184875,1
3377699720881147,1110,Centre Aéré,43.592453,1.388061,0,1970329131941942,1
3377699720881148,1111,Centre Aéré,43.592969,1.389687,0,1970329131941942,1
3377699720881149,2290,Eglise Lardenne,43.590967,1.383312,0,1970324837184879,1
3377699720881150,2291,Eglise Lardenne,43.590878,1.383437,0,1970324837184879,2
3377699720881154,6510,Poutier,43.591549,1.377948,0,1970324837184882,2
3377699720881155,6511,Poutier,43.591393,1.377686,0,1970324837184882,1
3377699720881156,6521,Salinié,43.593091,1.379740,0,1970324837184883,2
